sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux
160,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.2,14860.0
161,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.3,15380.0
162,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.4,15820.0
163,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.5,16110.0
164,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.6,16230.0
165,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.7,16340.0
166,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.8,16590.0
167,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.9,17020.0
168,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.0,17520.0
169,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.1,17930.0
170,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.1,18120.0
171,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.2,17720.0
172,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.3,17040.0
173,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.4,16150.0
174,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.5,15290.0
175,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.6,14530.0
176,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.7,14010.0
177,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.8,13690.0
178,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.8,13460.0
179,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,38.9,13160.0
180,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.0,12760.0
181,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.1,12230.0
182,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.2,11580.0
183,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.3,11130.0
184,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.3,10950.0
185,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.4,10890.0
186,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.5,11010.0
187,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,39.6,11130.0
188,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,39.7,11070.0
189,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,39.7,11060.0
190,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,39.8,11230.0
191,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,39.9,11610.0
192,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.0,11940.0
193,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.0,12170.0
194,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.1,12200.0
195,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.2,12030.0
196,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.2,11850.0
197,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.3,11730.0
198,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.4,11670.0
199,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.4,11620.0
